== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9666  0.0334  0.0328  0.0328  0.0331  0.0334  0.0331  0.0328  0.0328  0.0334  0.0327  0.0324  0.0331  0.0334  0.0331  0.0328  0.0330    1.03       E  0.971
light-solid__capsule-button__rest        calibration web     0.9723  0.0277  0.0265  0.0053  0.0263  0.0277  0.0277  0.0277  0.0277  0.0277  0.0260  0.0053  0.0260  0.0277  0.0277  0.0277  0.0277    5.23       N  0.191
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0121  0.0039  0.0120  0.0216  0.0253  0.0263  0.0259  0.0248  0.0121  0.0039  0.0120  0.0216  0.0253  0.0263  0.0259    6.74      SE  0.148
checkerboard__capsule-button__rest       calibration native  0.6152  0.2325  0.1755 -0.0967  0.2195  0.2247  0.1368  0.1732  0.2114  0.2473  0.2292  0.2090  0.2370  0.2281  0.2561  0.3017  0.2511     inf      NW -0.320
checkerboard__capsule-button__rest       calibration web     0.6804  0.2619  0.1155 -0.1302  0.1581  0.2049  0.1082  0.1784  0.2106  0.2574  0.2767  0.2093  0.2640  0.2853  0.3036  0.3188  0.3048     inf      NW -0.408
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0262  0.0110  0.0030  0.0109  0.0196  0.0234  0.0246  0.0240  0.0247  0.0110  0.0030  0.0109  0.0196  0.0234  0.0246  0.0240    8.85       N  0.113
photo__capsule-button__rest              calibration native  0.5772  0.1779  0.1235  0.0960  0.1369  0.1828  0.2128  0.2236  0.2200  0.1763  0.0957  0.0510  0.1066  0.1670  0.2123  0.2079  0.1942    4.38      SE  0.228
photo__capsule-button__rest              calibration web     0.6115  0.2852  0.1485  0.0820  0.1487  0.2455  0.2855  0.2990  0.2927  0.2798  0.1026  0.0258  0.1055  0.2077  0.2561  0.2759  0.2572   11.59      SE  0.086
light-solid__rrect-md__rest              calibration native  0.9344  0.0640  0.0593  0.0563  0.0593  0.0622  0.0611  0.0604  0.0615  0.0638  0.0591  0.0557  0.0593  0.0622  0.0614  0.0607  0.0623    1.15       N  0.870
light-solid__rrect-md__rest              calibration web     0.9318  0.0682  0.0529  0.0096  0.0536  0.0682  0.0682  0.0682  0.0682  0.0682  0.0515  0.0095  0.0535  0.0682  0.0682  0.0682  0.0682    7.19       N  0.139
