subset,scheme,pose,thickness,predictor,n,uniqueX,rms
all,dark,active,thick,source,40,10,0.0022056124389242216
all,dark,active,thick,body,40,20,0.0029539126786721224
all,dark,active,thick,silhouette,40,20,0.002401796618910325
all,dark,active,thick,dilated/0,40,20,0.002401796618910325
all,dark,active,thick,gaussian/0,40,20,0.0029539126786721224
all,dark,active,thick,dilated/0.03125,40,19,0.0027250257698148727
all,dark,active,thick,gaussian/0.03125,40,20,0.0029539126786721224
all,dark,active,thick,dilated/0.0625,40,20,0.0027218378579580474
all,dark,active,thick,gaussian/0.0625,40,20,0.0029539126786721224
all,dark,active,thick,dilated/0.125,40,20,0.002073738117481294
all,dark,active,thick,gaussian/0.125,40,20,0.002473416717804205
all,dark,active,thick,dilated/0.25,40,20,0.002089550409762261
all,dark,active,thick,gaussian/0.25,40,20,0.0020694959996911495
all,dark,active,thick,dilated/0.5,40,18,0.00217987959046602
all,dark,active,thick,gaussian/0.5,40,20,0.0021671693900989835
all,dark,active,thick,dilated/1,40,14,0.0022056124389242216
all,dark,active,thick,gaussian/1,40,20,0.0021847345366403466
all,dark,active,thin,source,45,10,0.14329785598416062
all,dark,active,thin,body,45,15,0.14170291678173821
all,dark,active,thin,silhouette,45,15,0.14329784771823548
all,dark,active,thin,dilated/0,45,15,0.14329784771823548
all,dark,active,thin,gaussian/0,45,15,0.14170291678173821
all,dark,active,thin,dilated/0.03125,45,16,0.14329784778628987
all,dark,active,thin,gaussian/0.03125,45,15,0.14170291678173821
all,dark,active,thin,dilated/0.0625,45,14,0.14329784826400355
all,dark,active,thin,gaussian/0.0625,45,16,0.14170291678173821
all,dark,active,thin,dilated/0.125,45,16,0.14329785598416062
all,dark,active,thin,gaussian/0.125,45,16,0.14170291678173821
all,dark,active,thin,dilated/0.25,45,16,0.14329785598416062
all,dark,active,thin,gaussian/0.25,45,16,0.14316994490449766
all,dark,active,thin,dilated/0.5,45,16,0.14329785598416062
all,dark,active,thin,gaussian/0.5,45,16,0.14329784826400355
all,dark,active,thin,dilated/1,45,16,0.14325651498460254
all,dark,active,thin,gaussian/1,45,16,0.14329784819594915
all,dark,inactive,thick,source,22,5,0.00293657945677677
all,dark,inactive,thick,body,22,15,0.002381130662113982
all,dark,inactive,thick,silhouette,22,15,0.0023811283799119376
all,dark,inactive,thick,dilated/0,22,15,0.0023811283799119376
all,dark,inactive,thick,gaussian/0,22,15,0.002381130662113982
all,dark,inactive,thick,dilated/0.03125,22,14,0.0029364869524149155
all,dark,inactive,thick,gaussian/0.03125,22,15,0.002381127646070605
all,dark,inactive,thick,dilated/0.0625,22,15,0.0029364869524149155
all,dark,inactive,thick,gaussian/0.0625,22,15,0.002381127646070605
all,dark,inactive,thick,dilated/0.125,22,15,0.00293657945677677
all,dark,inactive,thick,gaussian/0.125,22,15,0.002381127646070605
all,dark,inactive,thick,dilated/0.25,22,15,0.00293657945677677
all,dark,inactive,thick,gaussian/0.25,22,15,0.00293657945677677
all,dark,inactive,thick,dilated/0.5,22,13,0.00293657945677677
all,dark,inactive,thick,gaussian/0.5,22,15,0.00293657945677677
all,dark,inactive,thick,dilated/1,22,9,0.00293657945677677
all,dark,inactive,thick,gaussian/1,22,15,0.00293657945677677
all,dark,inactive,thin,source,14,4,0.0438443771284967
all,dark,inactive,thin,body,14,5,0.04384437712411506
all,dark,inactive,thin,silhouette,14,5,0.04384437712411506
all,dark,inactive,thin,dilated/0,14,5,0.04384437712411506
all,dark,inactive,thin,gaussian/0,14,5,0.04384437712411506
all,dark,inactive,thin,dilated/0.03125,14,5,0.0438443771284967
all,dark,inactive,thin,gaussian/0.03125,14,5,0.04384437712411506
all,dark,inactive,thin,dilated/0.0625,14,5,0.0438443771284967
all,dark,inactive,thin,gaussian/0.0625,14,5,0.04384437712411506
all,dark,inactive,thin,dilated/0.125,14,5,0.04384437712411506
all,dark,inactive,thin,gaussian/0.125,14,5,0.04384437712411506
all,dark,inactive,thin,dilated/0.25,14,5,0.04384437712411506
all,dark,inactive,thin,gaussian/0.25,14,5,0.0438443771284967
all,dark,inactive,thin,dilated/0.5,14,5,0.04384437712411506
all,dark,inactive,thin,gaussian/0.5,14,5,0.0438443771284967
all,dark,inactive,thin,dilated/1,14,5,0.04384437712411506
all,dark,inactive,thin,gaussian/1,14,5,0.04384437712411506
all,light,active,thick,source,82,12,0.095122224318176
all,light,active,thick,body,82,26,0.09902091179323425
all,light,active,thick,silhouette,82,26,0.09916278149898747
all,light,active,thick,dilated/0,82,26,0.09916278149898747
all,light,active,thick,gaussian/0,82,26,0.09902091179323425
all,light,active,thick,dilated/0.03125,82,25,0.09914380646822282
all,light,active,thick,gaussian/0.03125,82,26,0.09902090961432464
all,light,active,thick,dilated/0.0625,82,26,0.09914380650294297
all,light,active,thick,gaussian/0.0625,82,26,0.09902090961432464
all,light,active,thick,dilated/0.125,82,26,0.09656493848908719
all,light,active,thick,gaussian/0.125,82,26,0.09902176730336323
all,light,active,thick,dilated/0.25,82,26,0.09818912369207002
all,light,active,thick,gaussian/0.25,82,26,0.09917349561397756
all,light,active,thick,dilated/0.5,82,24,0.09797555868287691
all,light,active,thick,gaussian/0.5,82,26,0.09647350806536523
all,light,active,thick,dilated/1,82,18,0.09723800518299783
all,light,active,thick,gaussian/1,82,26,0.09721498206723009
all,light,active,thin,source,102,12,0.1924303980952044
all,light,active,thin,body,102,23,0.18307019780414707
all,light,active,thin,silhouette,102,23,0.1795257670915192
all,light,active,thin,dilated/0,102,23,0.1795257670915192
all,light,active,thin,gaussian/0,102,23,0.18307019780414707
all,light,active,thin,dilated/0.03125,102,24,0.1796905431255809
all,light,active,thin,gaussian/0.03125,102,23,0.18307019780414707
all,light,active,thin,dilated/0.0625,102,22,0.17977925076590362
all,light,active,thin,gaussian/0.0625,102,24,0.18307019780414707
all,light,active,thin,dilated/0.125,102,24,0.17819083061160504
all,light,active,thin,gaussian/0.125,102,24,0.18301220537702317
all,light,active,thin,dilated/0.25,102,24,0.1779979201388139
all,light,active,thin,gaussian/0.25,102,24,0.1822887900161271
all,light,active,thin,dilated/0.5,102,24,0.1789207074315113
all,light,active,thin,gaussian/0.5,102,24,0.1798513741705525
all,light,active,thin,dilated/1,102,24,0.19109497048395346
