W30 G3b — the ladder's span-44 column, at the defective renderer and at the fixed one
====================================================================================================

  `structure.py`'s own per-span table, read out of the two committed runs. Every
  other column is unchanged; span 44 is the only span whose casters are deep
  enough against their own σ to have reached the NaN (diagnosis.md).

  bed                       backdrop                     32  44 before  44 after       96      128      160
  1x-dark-standard          checkerboard                  —      5.830     0.912    0.973        —        —
  1x-dark-standard          checkerboard-32           0.552      5.770     0.859    0.703    0.752    0.809
  1x-dark-standard          checkerboard-4            0.541      5.907     0.928    0.765    1.022    1.173
  1x-dark-standard          checkerboard-64           0.642      5.327     0.758    0.508    0.517    0.497
  1x-dark-standard          checkerboard-8            0.624      5.865     0.948    1.207    1.862    1.322
  1x-dark-standard          checkerboard-lc16         0.915      5.652     0.827    1.198    1.155    1.174
  1x-dark-standard          dark-solid                    —      1.536     0.749    0.881        —        —
  1x-dark-standard          hc-text-28                0.598          —         —    0.659        —    1.280
  1x-dark-standard          hc-text-7                 0.692          —         —    0.906        —    1.313
  1x-dark-standard          impulse                       —      6.877     0.896        —        —        —
  1x-dark-standard          photo                         —      7.445     0.543    0.411        —        —
  1x-light-standard         checkerboard              1.490      5.507     1.218    1.567    1.602        —
  1x-light-standard         checkerboard-32           1.335      4.721     1.297    1.369    1.178    1.161
  1x-light-standard         checkerboard-4            0.490      5.949     0.817    0.635    0.801    0.797
  1x-light-standard         checkerboard-64           0.183      3.538     0.910    0.982    0.882    0.813
  1x-light-standard         checkerboard-8            1.123      5.657     1.036    1.679    2.413    1.173
  1x-light-standard         checkerboard-lc16         1.269      1.949     1.232    1.440    1.362    0.998
  1x-light-standard         dark-solid                    —      1.791     0.844    0.787        —        —
  1x-light-standard         hc-text-28                1.461          —         —    1.315        —    0.976
  1x-light-standard         hc-text-7                 0.847          —         —    0.905        —    0.727
  1x-light-standard         impulse                       —      1.427     0.921    0.944        —        —
  1x-light-standard         light-solid                   —     12.011     0.723    0.407    0.380        —
  1x-light-standard         photo                     0.585      6.828     0.656    0.679    0.604        —
  2x-dark-standard          checkerboard                  —      5.786     0.613    0.766        —        —
  2x-dark-standard          checkerboard-32           0.504      5.753     0.571    0.717    0.885    0.883
  2x-dark-standard          checkerboard-4            0.412      5.798     0.607    1.029    1.179    1.135
  2x-dark-standard          checkerboard-64           0.492      5.908     0.550    0.546    0.615    0.578
  2x-dark-standard          checkerboard-8            0.556      5.793     0.628    0.903    1.703    1.727
  2x-dark-standard          checkerboard-lc16         0.733      5.436     0.652    1.023    1.048    1.029
  2x-dark-standard          dark-solid                    —      1.427     0.529    0.652        —        —
  2x-dark-standard          hc-text-28                0.529          —         —    0.623        —    1.202
  2x-dark-standard          hc-text-7                 0.450          —         —    0.836        —    1.288
  2x-dark-standard          impulse                       —      6.156     0.794        —        —        —
  2x-dark-standard          photo                         —      7.423     0.396    0.373        —        —
  2x-light-standard         checkerboard              0.896      4.831     0.721    0.425    0.662        —
  2x-light-standard         checkerboard-32           1.022      4.293     0.954    0.817    0.937    0.985
  2x-light-standard         checkerboard-4            0.592      5.000     0.607    0.916    0.949    0.829
  2x-light-standard         checkerboard-64           0.354      3.332     0.849    0.864    0.836    0.845
  2x-light-standard         checkerboard-8            0.790      4.906     0.671    0.522    1.113    1.048
  2x-light-standard         checkerboard-lc16         0.781      1.472     0.722    0.484    0.645    0.604
  2x-light-standard         dark-solid                    —      1.562     0.704    0.713        —        —
  2x-light-standard         hc-text-28                0.924          —         —    0.646        —    0.806
  2x-light-standard         hc-text-7                 0.804          —         —    0.584        —    0.667
  2x-light-standard         impulse                       —      1.175     0.764    0.730        —        —
  2x-light-standard         light-solid                   —     10.230     0.461    0.381    0.358        —
  2x-light-standard         photo                     0.501      6.015     0.574    0.642    0.597        —

  Every reading outside the span-44 column is identical between the two runs.
