
== the declared bed — R = chromaStructureRatioWeb / chromaStructureRatioNative ==
scheme pose         n   median R    min R    max R  median twin  median r2 W  median r2 N
light  active      10     1.0486   0.8891   1.4417       1.0803       0.5356       0.7891
light  inactive     8     1.0205   0.9475   1.5155       1.1413       0.6104       0.7721
dark   active       4     0.9994   0.8213   1.0935       0.8498       0.3610       0.9453
dark   inactive     4     1.0170   0.8748   1.1866       0.9413       0.2270       0.9042

-- the declared bed, cell by cell --
profile                                           scene                                 set                R    twin     r2W    lvlN    lvlW     |d|      sdW
apple-macos-27.0-1x-dark-standard-glass0.5        photo__capsule-button__inactive       calibration   1.1291  1.0278  0.2291  0.2037  0.1878  0.0158  0.00991
apple-macos-27.0-1x-dark-standard-glass0.5        photo__capsule-button__rest           calibration   0.8213  0.6739  0.3568  0.2254  0.1797  0.0457  0.02043
apple-macos-27.0-1x-dark-standard-glass0.5        photo__rrect-md__inactive             calibration   0.9049  0.8547  0.2188  0.1695  0.1620  0.0076  0.00946
apple-macos-27.0-1x-dark-standard-glass0.5        photo__rrect-md__rest                 calibration   0.9418  0.8265  0.3499  0.1887  0.1637  0.0250  0.01603
apple-macos-27.0-1x-light-standard-glass0.5       photo__capsule-button__inactive       calibration   1.0445  1.2367  0.5908  0.4975  0.4986  0.0011  0.03591
apple-macos-27.0-1x-light-standard-glass0.5       photo__capsule-button__rest           calibration   1.0020  1.0893  0.5460  0.5353  0.5388  0.0035  0.03955
apple-macos-27.0-1x-light-standard-glass0.5       photo__rrect-md__inactive             calibration   1.0332  1.0529  0.5757  0.4955  0.4852  0.0103  0.04436
apple-macos-27.0-1x-light-standard-glass0.5       photo__rrect-md__rest                 calibration   1.0387  1.0611  0.5181  0.5456  0.5592  0.0136  0.04854
apple-macos-27.0-1x-light-standard-glass0.5       photo__rrect-ml__rest                 calibration   1.0506  1.0574  0.5214  0.5639  0.5615  0.0024  0.05527
apple-macos-27.0-1x-light-standard-glass0.5       photo__rrect-sm__inactive             validation    1.5155  1.4231  0.6055  0.4657  0.4747  0.0090  0.01843
apple-macos-27.0-1x-light-standard-glass0.5       photo__rrect-sm__rest                 validation    1.3567  1.3593  0.5694  0.5089  0.5180  0.0091  0.02334
apple-macos-27.0-1x-light-standard-glass0.5       photo__toolbar-group__inactive        validation    1.0077  1.0924  0.6199  0.5215  0.5153  0.0062  0.06548
apple-macos-27.0-1x-light-standard-glass0.5       photo__toolbar-group__rest            validation    0.8906  0.9153  0.5716  0.5540  0.5612  0.0072  0.07241
apple-macos-27.0-2x-dark-standard-glass0.5        photo__capsule-button__inactive       calibration   1.1866  1.0916  0.2269  0.2046  0.1880  0.0166  0.00923
apple-macos-27.0-2x-dark-standard-glass0.5        photo__capsule-button__rest           calibration   1.0570  0.8730  0.3672  0.2262  0.1769  0.0493  0.01682
apple-macos-27.0-2x-dark-standard-glass0.5        photo__rrect-md__inactive             calibration   0.8748  0.8091  0.2271  0.1697  0.1625  0.0072  0.01046
apple-macos-27.0-2x-dark-standard-glass0.5        photo__rrect-md__rest                 calibration   1.0935  0.9887  0.3651  0.1890  0.1627  0.0263  0.01480
apple-macos-27.0-2x-light-standard-glass0.5       photo__capsule-button__inactive       calibration   1.0057  1.1901  0.6153  0.4987  0.4998  0.0010  0.03878
apple-macos-27.0-2x-light-standard-glass0.5       photo__capsule-button__rest           calibration   1.0466  1.1920  0.5297  0.5375  0.5390  0.0015  0.03698
apple-macos-27.0-2x-light-standard-glass0.5       photo__rrect-md__inactive             calibration   0.9848  0.9802  0.5894  0.4982  0.4872  0.0110  0.04832
apple-macos-27.0-2x-light-standard-glass0.5       photo__rrect-md__rest                 calibration   1.0692  1.1131  0.5118  0.5474  0.5589  0.0115  0.04637
apple-macos-27.0-2x-light-standard-glass0.5       photo__rrect-ml__rest                 calibration   1.0618  1.0712  0.5202  0.5641  0.5610  0.0031  0.05481
apple-macos-27.0-2x-light-standard-glass0.5       photo__rrect-sm__inactive             validation    1.4469  1.4014  0.6616  0.4671  0.4732  0.0060  0.01739
apple-macos-27.0-2x-light-standard-glass0.5       photo__rrect-sm__rest                 validation    1.4417  1.4663  0.5414  0.5111  0.5186  0.0076  0.01971
apple-macos-27.0-2x-light-standard-glass0.5       photo__toolbar-group__inactive        validation    0.9475  0.9882  0.6409  0.5257  0.5214  0.0042  0.06916
apple-macos-27.0-2x-light-standard-glass0.5       photo__toolbar-group__rest            validation    0.8891  0.9102  0.5581  0.5596  0.5623  0.0027  0.06794
