W32 G1 — B3's statistic over the whole exterior and over the admitted bands
================================================================================================================
  the same 166 cells, the same aggregation, two pixel sets. Nothing here is a bound.

  round     pose          n   whole |Δ|   window |Δ|   whole web   whole nat    win web    win nat
  pre-fit   active       85     0.00029      0.00104     0.00169     0.00173    0.00279    0.00175
  pre-fit   inactive     81     0.00039      0.00141     0.00091     0.00081    0.00141    0.00000
  pre-fit   pooled      166     0.00034      0.00122     0.00131     0.00128    0.00212    0.00090

  R         active       85     0.00029      0.00104     0.00169     0.00173    0.00279    0.00175
  R         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  R         pooled      166     0.00054      0.00053     0.00087     0.00128    0.00143    0.00090

  A         active       85     0.00047      0.00039     0.00132     0.00173    0.00211    0.00175
  A         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  A         pooled      166     0.00063      0.00020     0.00068     0.00128    0.00108    0.00090

  B         active       85     0.00064      0.00011     0.00113     0.00173    0.00180    0.00175
  B         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  B         pooled      166     0.00072      0.00006     0.00058     0.00128    0.00092    0.00090

  C         active       85     0.00066      0.00013     0.00112     0.00173    0.00178    0.00175
  C         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  C         pooled      166     0.00072      0.00007     0.00058     0.00128    0.00091    0.00090

  D         active       85     0.00065      0.00011     0.00112     0.00173    0.00179    0.00175
  D         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  D         pooled      166     0.00072      0.00006     0.00058     0.00128    0.00092    0.00090

  E         active       85     0.00064      0.00011     0.00113     0.00173    0.00181    0.00175
  E         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  E         pooled      166     0.00072      0.00006     0.00059     0.00128    0.00093    0.00090

  F         active       85     0.00067      0.00015     0.00110     0.00173    0.00176    0.00175
  F         inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  F         pooled      166     0.00073      0.00008     0.00057     0.00128    0.00090    0.00090

  read      active       85     0.00064      0.00011     0.00113     0.00173    0.00181    0.00175
  read      inactive     81     0.00080      0.00000     0.00001     0.00081    0.00000    0.00000
  read      pooled      166     0.00072      0.00006     0.00059     0.00128    0.00093    0.00090

