W32 G1 — the occlusion profile per band, both sides
========================================================================================================
  matrix   results/matrix.json
  cut      results/2026-09-21-w32-g1-shadow-fit/exterior-cut.json
  documents packages/calibration/profiles/apple-macos-27.0-1x-dark-standard-glass0.5.json sha256:431cabd391c4, packages/calibration/profiles/apple-macos-27.0-1x-light-standard-glass0.5.json sha256:d5bdd6eac432

  bed          span band      n  occ native   occ web  web/nat
  1x dark        32 3-6       7     0.00748   0.00651    0.871
  1x dark        32 6-12      7     0.00266   0.00260    0.976
  1x dark        32 12-24     7     0.00000   0.00000      nan
  1x dark        32 24-48     7     0.00000   0.00000      nan
  1x dark        44 3-6      13     0.00899   0.00761    0.846
  1x dark        44 6-12     13     0.00304   0.00405    1.331
  1x dark        44 12-24    13     0.00000   0.00000      nan
  1x dark        44 24-48    13     0.00000   0.00000      nan
  1x dark        96 3-6       9     0.04920   0.03993    0.812
  1x dark        96 6-12      9     0.02638   0.02549    0.966
  1x dark        96 12-24     9     0.00513   0.00703    1.371
  1x dark        96 24-48     9     0.00000   0.00001      nan
  1x dark       128 3-6       5     0.09778   0.08972    0.918
  1x dark       128 6-12      5     0.06850   0.06733    0.983
  1x dark       128 12-24     5     0.02618   0.02977    1.137
  1x dark       160 3-6       7     0.15440   0.15138    0.980
  1x dark       160 6-12      7     0.11912   0.11967    1.005
  1x light       32 3-6       9     0.00748   0.00739    0.989
  1x light       32 6-12      9     0.00266   0.00240    0.901
  1x light       32 12-24     9     0.00000   0.00000      nan
  1x light       32 24-48     9     0.00000   0.00000      nan
  1x light       44 3-6      18     0.00899   0.00995    1.107
  1x light       44 6-12     18     0.00304   0.00290    0.952
  1x light       44 12-24    18     0.00000   0.00000      nan
  1x light       44 24-48    18     0.00000   0.00000      nan
  1x light       96 3-6      10     0.03431   0.02956    0.861
  1x light       96 6-12     10     0.01858   0.01817    0.978
  1x light       96 12-24    10     0.00342   0.00474    1.388
  1x light       96 24-48    10     0.00000   0.00000      nan
  1x light      128 3-6       7     0.06788   0.06327    0.932
  1x light      128 6-12      7     0.04685   0.04558    0.973
  1x light      128 12-24     7     0.01784   0.02053    1.151
  1x light      160 3-6       7     0.10392   0.10552    1.015
  1x light      160 6-12      7     0.08078   0.08262    1.023
  1x light-increased-contrast-coupled   44 3-6       5     0.00818   0.02896    3.538
  1x light-increased-contrast-coupled   44 6-12      5     0.00138   0.00587    4.254
  1x light-increased-contrast-coupled   44 12-24     5     0.00000   0.00000      nan
  1x light-increased-contrast-coupled   44 24-48     5     0.00000   0.00000      nan
  1x light-increased-contrast-coupled   96 3-6       2     0.03329   0.02985    0.897
  1x light-increased-contrast-coupled   96 6-12      2     0.01551   0.01659    1.070
  1x light-increased-contrast-coupled   96 12-24     2     0.00147   0.00319    2.165
  1x light-increased-contrast-coupled   96 24-48     2     0.00000   0.00000      nan
  1x light-reduced-transparency   44 3-6       4     0.00817   0.02896    3.544
  1x light-reduced-transparency   44 6-12      4     0.00138   0.00587    4.254
  1x light-reduced-transparency   44 12-24     4     0.00000   0.00000      nan
  1x light-reduced-transparency   44 24-48     4     0.00000   0.00000      nan
  1x light-reduced-transparency   96 3-6       2     0.03329   0.02985    0.897
  1x light-reduced-transparency   96 6-12      2     0.01551   0.01659    1.070
  1x light-reduced-transparency   96 12-24     2     0.00147   0.00319    2.165
  1x light-reduced-transparency   96 24-48     2     0.00000   0.00000      nan
  2x dark        32 3-6       7     0.00776   0.00631    0.813
  2x dark        32 6-12      7     0.00256   0.00261    1.021
  2x dark        32 12-24     7     0.00000   0.00000      nan
  2x dark        32 24-48     7     0.00000   0.00000      nan
  2x dark        44 3-6      13     0.00928   0.00762    0.821
  2x dark        44 6-12     13     0.00297   0.00385    1.299
  2x dark        44 12-24    13     0.00000   0.00000      nan
  2x dark        44 24-48    13     0.00000   0.00000      nan
  2x dark        96 3-6       9     0.04869   0.04025    0.827
  2x dark        96 6-12      9     0.02654   0.02626    0.990
  2x dark        96 12-24     9     0.00511   0.00716    1.400
  2x dark        96 24-48     9     0.00000   0.00000      nan
  2x dark       128 3-6       5     0.09972   0.09007    0.903
  2x dark       128 6-12      5     0.06931   0.06746    0.973
  2x dark       128 12-24     5     0.02632   0.02990    1.136
  2x dark       160 3-6       7     0.15372   0.15211    0.990
  2x dark       160 6-12      7     0.11937   0.12122    1.015
  2x light       32 3-6       9     0.00776   0.00743    0.957
  2x light       32 6-12      9     0.00256   0.00223    0.870
  2x light       32 12-24     9     0.00000   0.00000      nan
  2x light       32 24-48     9     0.00000   0.00000      nan
  2x light       44 3-6      18     0.00928   0.01003    1.081
  2x light       44 6-12     18     0.00297   0.00287    0.969
  2x light       44 12-24    18     0.00000   0.00000      nan
  2x light       44 24-48    18     0.00000   0.00000      nan
  2x light       96 3-6      10     0.03397   0.03020    0.889
  2x light       96 6-12     10     0.01881   0.01827    0.972
  2x light       96 12-24    10     0.00326   0.00479    1.469
  2x light       96 24-48    10     0.00000   0.00000      nan
  2x light      128 3-6       7     0.06803   0.06297    0.926
  2x light      128 6-12      7     0.04688   0.04565    0.974
  2x light      128 12-24     7     0.01775   0.02032    1.145
  2x light      160 3-6       7     0.10442   0.10530    1.008
  2x light      160 6-12      7     0.08071   0.08226    1.019

  k* — the ONE scale on vitrea's profile that minimises the width-weighted |Δ|,
  and the `T` it would leave. A diagnostic: nothing here is written to a document.
  bed          span     T now      k*   T at k*   bands
  1x light       32   0.00004   1.012   0.00003   3-6/6-12/12-24/24-48
  1x light       44   0.00008   0.904   0.00006   3-6/6-12/12-24/24-48
  1x light       96   0.00072   1.023   0.00066   3-6/6-12/12-24/24-48
  1x light      128   0.00256   1.028   0.00228   3-6/6-12/12-24
  1x light      160   0.00176   0.978   0.00026   3-6/6-12
  2x light       32   0.00007   1.045   0.00003   3-6/6-12/12-24/24-48
  2x light       44   0.00006   0.925   0.00004   3-6/6-12/12-24/24-48
  2x light       96   0.00073   1.029   0.00064   3-6/6-12/12-24/24-48
  2x light      128   0.00254   1.027   0.00226   3-6/6-12/12-24
  2x light      160   0.00132   0.982   0.00038   3-6/6-12
  1x dark        32   0.00007   1.148   0.00004   3-6/6-12/12-24/24-48
