apple-macos-27.0-1x-light-standard-glass0.5 hc-text-28__rrect-lg__rest BEFORE integer 165 analytic 0 sdf 1.5 2.2836051130534685 max 230.0 {'0-2': 163, '2-3': 2, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 hc-text-28__rrect-lg__rest AFTER integer 165 analytic 0 sdf 1.5 2.2836051130534685 max 230.0 {'0-2': 163, '2-3': 2, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 hc-text-7__rrect-lg__rest BEFORE integer 0 analytic 0 sdf None None max 0 {'0-2': 0, '2-3': 0, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 hc-text-7__rrect-lg__rest AFTER integer 0 analytic 0 sdf None None max 0 {'0-2': 0, '2-3': 0, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard-8__rrect-ml__rest BEFORE integer 134 analytic 0 sdf 1.5 2.7405447159261023 max 207.0 {'0-2': 130, '2-3': 4, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard-8__rrect-ml__rest AFTER integer 134 analytic 0 sdf 1.5 2.7405447159261023 max 207.0 {'0-2': 130, '2-3': 4, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard-8__rrect-lg__rest BEFORE integer 170 analytic 0 sdf 1.5 2.7491496500259203 max 205.0 {'0-2': 160, '2-3': 10, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard-8__rrect-lg__rest AFTER integer 170 analytic 0 sdf 1.5 2.7491496500259203 max 205.0 {'0-2': 160, '2-3': 10, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 impulse__rrect-md__rest BEFORE integer 204 analytic 0 sdf 1.5 2.7705950734714015 max 144.0 {'0-2': 196, '2-3': 8, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-light-standard-glass0.5 impulse__rrect-md__rest AFTER integer 204 analytic 0 sdf 1.5 2.7705950734714015 max 144.0 {'0-2': 196, '2-3': 8, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 hc-text-28__rrect-lg__rest BEFORE integer 165 analytic 0 sdf 1.5 2.2836051130534685 max 131.0 {'0-2': 163, '2-3': 2, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 hc-text-28__rrect-lg__rest AFTER integer 165 analytic 0 sdf 1.5 2.2836051130534685 max 131.0 {'0-2': 163, '2-3': 2, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 hc-text-7__rrect-lg__rest BEFORE integer 0 analytic 0 sdf None None max 0 {'0-2': 0, '2-3': 0, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 hc-text-7__rrect-lg__rest AFTER integer 0 analytic 0 sdf None None max 0 {'0-2': 0, '2-3': 0, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 checkerboard-8__rrect-ml__rest BEFORE integer 134 analytic 0 sdf 1.5 2.7405447159261023 max 128.0 {'0-2': 130, '2-3': 4, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 checkerboard-8__rrect-ml__rest AFTER integer 134 analytic 0 sdf 1.5 2.7405447159261023 max 128.0 {'0-2': 130, '2-3': 4, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 checkerboard-8__rrect-lg__rest BEFORE integer 170 analytic 0 sdf 1.5 2.7491496500259203 max 128.0 {'0-2': 160, '2-3': 10, '3-6': 0, '6-12': 0, '12-1000': 0}
apple-macos-27.0-1x-dark-standard-glass0.5 checkerboard-8__rrect-lg__rest AFTER integer 170 analytic 0 sdf 1.5 2.7491496500259203 max 128.0 {'0-2': 160, '2-3': 10, '3-6': 0, '6-12': 0, '12-1000': 0}
