X1 218 cells
integer {'pixels': 12681980, 'backdropBlack': 12681980, 'nativeNonzero': 0, 'aboveZero': 0, 'aboveOne': 0}
analytic {'pixels': 12593524, 'backdropBlack': 12593524, 'nativeNonzero': 0, 'aboveZero': 0, 'aboveOne': 0}
Excluded from X1, retained in the 232-cell referee:
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard__toolbar-group__rest {'backdropBlack': 28366, 'nativeNonzero': 0, 'pixels': 28366, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-standard-glass0.5 checkerboard__toolbar-group__inactive {'backdropBlack': 28366, 'nativeNonzero': 3, 'pixels': 28363, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-reduced-transparency-glass0.5 checkerboard__capsule-button__rest {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-reduced-transparency-glass0.5 checkerboard__rrect-md__rest {'backdropBlack': 24062, 'nativeNonzero': 0, 'pixels': 24062, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-reduced-transparency-glass0.5 checkerboard__capsule-button__inactive {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-reduced-transparency-glass0.5 checkerboard__rrect-md__inactive {'backdropBlack': 24062, 'nativeNonzero': 0, 'pixels': 24062, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__capsule-button__rest {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__rrect-md__rest {'backdropBlack': 24062, 'nativeNonzero': 0, 'pixels': 24062, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__capsule-button__rest-tint-orange {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__capsule-button__inactive {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__capsule-button__inactive-tint-orange {'backdropBlack': 29194, 'nativeNonzero': 0, 'pixels': 29194, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-1x-light-increased-contrast-coupled-glass0.5 checkerboard__rrect-md__inactive {'backdropBlack': 24062, 'nativeNonzero': 0, 'pixels': 24062, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-2x-light-standard-glass0.5 checkerboard__toolbar-group__rest {'backdropBlack': 113054, 'nativeNonzero': 0, 'pixels': 113054, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
apple-macos-27.0-2x-light-standard-glass0.5 checkerboard__toolbar-group__inactive {'backdropBlack': 113054, 'nativeNonzero': 0, 'pixels': 113054, 'aboveZero': 0, 'aboveOne': 0, 'fraction': 0.0}
