capturing 148 fixtures via screencapturekit at 1.0x (interleaved)
presenting INACTIVE: key=false NSApp.isActive=false policy=accessory canBecomeKey=false
  [1/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-96__none__inactive dry-run inactive key=false active=false
  [2/148] apple-macos-27.0-1x-light-standard-glass0.5/local-x-192__none__inactive dry-run inactive key=false active=false
  [3/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard-64__circular-120__inactive dry-run inactive key=false active=false
  [4/148] apple-macos-27.0-1x-light-standard-glass0.5/cyan__none__inactive dry-run inactive key=false active=false
  [5/148] apple-macos-27.0-1x-light-standard-glass0.5/dark-solid__capsule-button__inactive dry-run inactive key=false active=false
  [6/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__circular-200__inactive dry-run inactive key=false active=false
  [7/148] apple-macos-27.0-1x-dark-standard-glass0.5/yellow__circular-120__inactive dry-run inactive key=false active=false
  [8/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-90-large__circular-120__inactive dry-run inactive key=false active=false
  [9/148] apple-macos-27.0-1x-light-standard-glass0.5/magenta__circular-120__inactive dry-run inactive key=false active=false
  [10/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__continuous-160__inactive dry-run inactive key=false active=false
  [11/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-0__circular-120__inactive dry-run inactive key=false active=false
  [12/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-200__inactive dry-run inactive key=false active=false
  [13/148] apple-macos-27.0-1x-dark-standard-glass0.5/cyan__circular-120__inactive dry-run inactive key=false active=false
  [14/148] apple-macos-27.0-1x-light-standard-glass0.5/local-x-64__circular-120__inactive dry-run inactive key=false active=false
  [15/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__rectangle-120__inactive dry-run inactive key=false active=false
  [16/148] apple-macos-27.0-1x-dark-standard-glass0.5/checkerboard__circular-120__inactive dry-run inactive key=false active=false
  [17/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-135-large__circular-120__inactive dry-run inactive key=false active=false
  [18/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-45-large__circular-120__inactive dry-run inactive key=false active=false
  [19/148] apple-macos-27.0-1x-light-standard-glass0.5/local-y-192__none__inactive dry-run inactive key=false active=false
  [20/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__circular-120__inactive dry-run inactive key=false active=false
  [21/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard__circular-120__inactive dry-run inactive key=false active=false
  [22/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__none__inactive dry-run inactive key=false active=false
  [23/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__circular-120__inactive dry-run inactive key=false active=false
  [24/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-135-small__circular-120__inactive dry-run inactive key=false active=false
  [25/148] apple-macos-27.0-1x-dark-standard-glass0.5/dark-solid__capsule-button__inactive dry-run inactive key=false active=false
  [26/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-208__circular-120__inactive dry-run inactive key=false active=false
  [27/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-200-opaque-0__inactive dry-run inactive key=false active=false
  [28/148] apple-macos-27.0-1x-light-standard-glass0.5/photo__capsule-button__inactive dry-run inactive key=false active=false
  [29/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-90-small__circular-120__inactive dry-run inactive key=false active=false
  [30/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-0-large__circular-120__inactive dry-run inactive key=false active=false
  [31/148] apple-macos-27.0-1x-light-standard-glass0.5/red__none__inactive dry-run inactive key=false active=false
  [32/148] apple-macos-27.0-1x-light-standard-glass0.5/green__circular-120__inactive dry-run inactive key=false active=false
  [33/148] apple-macos-27.0-1x-light-standard-glass0.5/local-y-192__circular-120__inactive dry-run inactive key=false active=false
  [34/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard-4__circular-120__inactive dry-run inactive key=false active=false
  [35/148] apple-macos-27.0-1x-light-standard-glass0.5/red__capsule-button__inactive dry-run inactive key=false active=false
  [36/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-96__circular-120__inactive dry-run inactive key=false active=false
  [37/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-64__none__inactive dry-run inactive key=false active=false
  [38/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-160__none__inactive dry-run inactive key=false active=false
  [39/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-90-large__circular-120__inactive dry-run inactive key=false active=false
  [40/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-45-large__none__inactive dry-run inactive key=false active=false
  [41/148] apple-macos-27.0-1x-light-standard-glass0.5/magenta__none__inactive dry-run inactive key=false active=false
  [42/148] apple-macos-27.0-1x-light-standard-glass0.5/dark-solid__none__inactive dry-run inactive key=false active=false
  [43/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-135-large__none__inactive dry-run inactive key=false active=false
  [44/148] apple-macos-27.0-1x-dark-standard-glass0.5/local-x-192__circular-120__inactive dry-run inactive key=false active=false
  [45/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__circular-160__inactive dry-run inactive key=false active=false
  [46/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__continuous-200__inactive dry-run inactive key=false active=false
  [47/148] apple-macos-27.0-1x-light-standard-glass0.5/red__continuous-160__inactive dry-run inactive key=false active=false
  [48/148] apple-macos-27.0-1x-light-standard-glass0.5/red__circular-120__inactive dry-run inactive key=false active=false
  [49/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__circular-120__inactive dry-run inactive key=false active=false
  [50/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-45-small__circular-120__inactive dry-run inactive key=false active=false
  [51/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__capsule-button__inactive dry-run inactive key=false active=false
  [52/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-208__none__inactive dry-run inactive key=false active=false
  [53/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__none__inactive dry-run inactive key=false active=false
  [54/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__continuous-160__inactive dry-run inactive key=false active=false
  [55/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__continuous-160-opaque-0__inactive dry-run inactive key=false active=false
  [56/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__continuous-160__inactive dry-run inactive key=false active=false
  [57/148] apple-macos-27.0-1x-dark-standard-glass0.5/photo__capsule-button__inactive dry-run inactive key=false active=false
  [58/148] apple-macos-27.0-1x-light-standard-glass0.5/blue__circular-120__inactive dry-run inactive key=false active=false
  [59/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-160-opaque-0__inactive dry-run inactive key=false active=false
