comparator,profile,pose,part,family,space,objective,fitFile,fit,power,angleRadians,worstAbsoluteBin,shellZeroWorstAbsoluteBin,observedBarMaximum,effectiveTolerance,populatedBins,pixels,underpopulatedBins,outcome,domain
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,body-forward-affine,encoded,least-squares,fits.json,256,2.0,0.0,22.75,22.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,body-forward-affine,linear,least-squares,fits.json,368,2.0,0.0,42.0,42.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,body-forward-even-affine,encoded,least-squares,fits.json,272,8.0,0.0,21.5,21.5,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,body-forward-even-affine,linear,least-squares,fits.json,384,8.0,0.0,36.333333333333336,36.333333333333336,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,colour-gradient,encoded,minimax,fits.json,161,2.0,0.0,128.0,40.77777777777778,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,constant,encoded,minimax,fits.json,1,2.0,0.0,128.0,82.55555555555556,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-add,encoded,least-squares,fits.json,176,2.0,0.0,28.75,28.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-add,linear,minimax,fits.json,289,2.0,0.0,43.44444444444444,43.44444444444444,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-affine,encoded,minimax,fits.json,225,2.0,0.0,20.22222222222222,20.22222222222222,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-affine,linear,minimax,fits.json,337,2.0,0.0,48.0,48.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-even-affine,encoded,minimax,fits.json,241,0.5,0.0,21.11111111111111,21.11111111111111,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-even-affine,linear,minimax,fits.json,353,0.5,0.0,48.0,48.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-multiply,encoded,least-squares,fits.json,192,2.0,0.0,20.0,19.555555555555557,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-multiply,linear,least-squares,fits.json,304,2.0,0.0,26.0,26.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-screen,encoded,least-squares,fits.json,208,2.0,0.0,51.75,51.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,coverage-screen,linear,least-squares,fits.json,320,2.0,0.0,51.25,51.25,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,even,encoded,minimax,fits.json,17,0.5,0.0,128.0,83.22222222222223,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,gradient,encoded,minimax,fits.json,145,2.0,0.0,128.0,78.91666666666667,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,isotropic-even,encoded,minimax,fits.json,33,0.5,0.0,128.0,82.55555555555556,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,isotropic-two-axis,encoded,minimax,fits.json,129,2.0,0.0,128.0,83.33333333333333,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,one-sided-diagonal,encoded,least-squares,fits.json,48,2.0,0.0,142.55555555555554,142.55555555555554,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,rotated-axis,encoded,least-squares,fits.json,112,8.0,0.916297857297023,128.0,105.88888888888889,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,shipped-diagonal,encoded,minimax,fits.json,65,2.0,0.0,128.0,94.63157894736842,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,signed-normal,encoded,minimax,fits.json,81,2.0,0.0,128.0,82.55555555555556,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,arc,two-term-even,encoded,minimax,fits.json,97,0.5,0.0,128.0,83.55555555555556,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,body-forward-affine,encoded,least-squares,fits.json,256,2.0,0.0,19.0,19.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,body-forward-affine,linear,least-squares,fits.json,368,2.0,0.0,40.0,40.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,inactive,straight,body-forward-even-affine,encoded,minimax,fits.json,273,8.0,0.0,15.0,15.0,0.0,1,48,3648,0,not closed,circular only
