stratum,part,family,space,bestValidationWorstBin,method,fit,shellZeroWorstBin,bar,tau,pixels,bins,underpopulated,status,domain
1x/dark/inactive,arc,body-forward-affine,encoded,22.75,least-squares,256,22.75,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,body-forward-affine,linear,42.0,least-squares,368,42.0,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,body-forward-even-affine,encoded,21.5,least-squares,272,21.5,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,body-forward-even-affine,linear,36.333333333333336,least-squares,384,36.333333333333336,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,colour-gradient,encoded,128.0,least-squares,160,54.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,constant,encoded,128.0,least-squares,0,108.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,coverage-add,encoded,28.75,least-squares,176,28.75,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-add,linear,43.44444444444444,minimax,289,43.44444444444444,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-affine,encoded,20.22222222222222,minimax,225,20.22222222222222,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-affine,linear,48.0,minimax,337,48.0,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-even-affine,encoded,21.11111111111111,minimax,241,21.11111111111111,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-even-affine,linear,48.0,minimax,353,48.0,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-multiply,encoded,20.0,least-squares,192,19.555555555555557,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-multiply,linear,26.0,least-squares,304,26.0,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-screen,encoded,51.75,least-squares,208,51.75,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,coverage-screen,linear,51.25,least-squares,320,51.25,0.0,1,3448,384,0,not closed,circular only
1x/dark/inactive,arc,even,encoded,128.0,least-squares,16,104.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,gradient,encoded,128.0,least-squares,144,107.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,isotropic-even,encoded,128.0,least-squares,32,101.88888888888889,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,isotropic-two-axis,encoded,128.0,least-squares,128,97.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,one-sided-diagonal,encoded,142.55555555555554,least-squares,48,142.55555555555554,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,rotated-axis,encoded,128.0,least-squares,112,105.88888888888889,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,shipped-diagonal,encoded,128.0,least-squares,64,110.38888888888889,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,signed-normal,encoded,128.0,least-squares,80,108.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,arc,two-term-even,encoded,128.0,least-squares,96,97.55555555555556,0.0,1,10744,672,0,not closed,all shapes
1x/dark/inactive,straight,body-forward-affine,encoded,19.0,least-squares,256,19.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,body-forward-affine,linear,40.0,least-squares,368,40.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,body-forward-even-affine,encoded,15.0,minimax,273,15.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,body-forward-even-affine,linear,9.0,minimax,385,9.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,colour-gradient,encoded,128.0,least-squares,160,38.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,constant,encoded,128.0,least-squares,0,87.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,coverage-add,encoded,20.0,least-squares,176,12.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-add,linear,68.0,minimax,289,68.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-affine,encoded,22.0,minimax,225,22.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-affine,linear,34.0,minimax,337,34.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-even-affine,encoded,24.0,least-squares,240,24.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-even-affine,linear,44.0,minimax,353,44.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-multiply,encoded,21.0,least-squares,192,21.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-multiply,linear,33.0,least-squares,304,33.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-screen,encoded,38.0,least-squares,208,38.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,coverage-screen,linear,38.0,least-squares,320,38.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/inactive,straight,even,encoded,128.0,least-squares,16,121.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,gradient,encoded,128.0,least-squares,144,87.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,isotropic-even,encoded,128.0,least-squares,32,88.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,isotropic-two-axis,encoded,128.0,least-squares,128,84.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,one-sided-diagonal,encoded,128.0,least-squares,48,121.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,rotated-axis,encoded,128.0,least-squares,112,86.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,shipped-diagonal,encoded,128.0,least-squares,64,89.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,signed-normal,encoded,128.0,least-squares,80,87.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/inactive,straight,two-term-even,encoded,128.0,least-squares,96,85.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,arc,body-forward-affine,encoded,47.888888888888886,least-squares,258,47.888888888888886,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,body-forward-affine,linear,39.25,minimax,371,39.25,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,body-forward-even-affine,encoded,27.0,least-squares,274,14.571428571428571,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,body-forward-even-affine,linear,27.25,least-squares,386,18.333333333333332,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,colour-gradient,encoded,124.0,least-squares,162,60.5,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,constant,encoded,124.0,minimax,3,104.41176470588235,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,coverage-add,encoded,52.333333333333336,least-squares,178,52.333333333333336,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-add,linear,52.888888888888886,least-squares,290,52.888888888888886,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-affine,encoded,45.111111111111114,least-squares,226,45.111111111111114,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-affine,linear,41.75,minimax,339,37.5,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-even-affine,encoded,39.25,least-squares,242,21.77777777777778,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-even-affine,linear,41.75,minimax,355,37.5,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-multiply,encoded,45.888888888888886,least-squares,194,45.888888888888886,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-multiply,linear,41.75,minimax,307,37.5,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-screen,encoded,58.333333333333336,least-squares,210,58.333333333333336,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,coverage-screen,linear,57.77777777777778,least-squares,322,57.77777777777778,0.0,1,3448,384,0,not closed,circular only
1x/dark/active,arc,even,encoded,124.0,least-squares,18,98.47058823529412,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,gradient,encoded,124.0,least-squares,146,104.82352941176471,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,isotropic-even,encoded,124.0,least-squares,34,98.6470588235294,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,isotropic-two-axis,encoded,124.0,least-squares,130,94.47058823529412,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,one-sided-diagonal,encoded,145.41176470588235,least-squares,50,145.41176470588235,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,rotated-axis,encoded,124.0,least-squares,114,93.88235294117646,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,shipped-diagonal,encoded,124.0,minimax,67,108.17647058823529,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,signed-normal,encoded,124.0,minimax,83,102.23529411764706,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,arc,two-term-even,encoded,124.0,least-squares,98,98.52941176470588,0.0,1,10774,672,0,not closed,all shapes
1x/dark/active,straight,body-forward-affine,encoded,36.0,least-squares,258,13.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,body-forward-affine,linear,36.0,least-squares,370,11.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,body-forward-even-affine,encoded,36.0,least-squares,274,4.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,body-forward-even-affine,linear,36.0,least-squares,386,3.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,colour-gradient,encoded,118.0,least-squares,162,90.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,constant,encoded,118.0,least-squares,2,83.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,coverage-add,encoded,49.0,minimax,179,2.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-add,linear,50.0,least-squares,290,32.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-affine,encoded,49.0,least-squares,226,16.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-affine,linear,49.0,least-squares,338,15.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-even-affine,encoded,49.0,least-squares,242,6.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-even-affine,linear,49.0,least-squares,354,17.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-multiply,encoded,49.0,minimax,195,2.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-multiply,linear,50.0,least-squares,306,15.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-screen,encoded,49.0,least-squares,210,3.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,coverage-screen,linear,49.0,least-squares,322,32.0,0.0,1,3648,48,0,not closed,circular only
1x/dark/active,straight,even,encoded,118.0,least-squares,18,92.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,gradient,encoded,118.0,least-squares,146,92.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,isotropic-even,encoded,118.0,least-squares,34,91.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,isotropic-two-axis,encoded,118.0,least-squares,130,92.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,one-sided-diagonal,encoded,118.0,least-squares,50,84.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,rotated-axis,encoded,118.0,least-squares,114,91.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,shipped-diagonal,encoded,118.0,least-squares,66,84.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,signed-normal,encoded,118.0,least-squares,82,84.0,0.0,1,4152,84,0,not closed,all shapes
1x/dark/active,straight,two-term-even,encoded,118.0,least-squares,98,91.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,arc,body-forward-affine,encoded,15.75,least-squares,260,15.75,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,body-forward-affine,linear,22.75,least-squares,372,22.75,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,body-forward-even-affine,encoded,14.625,least-squares,276,14.625,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,body-forward-even-affine,linear,22.75,least-squares,388,22.75,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,colour-gradient,encoded,97.0,least-squares,164,29.25,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,constant,encoded,97.0,least-squares,4,28.666666666666668,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,coverage-add,encoded,79.0,least-squares,180,25.22222222222222,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-add,linear,79.0,least-squares,292,66.25,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-affine,encoded,79.0,least-squares,228,22.77777777777778,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-affine,linear,79.0,least-squares,340,33.55555555555556,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-even-affine,encoded,79.0,least-squares,244,29.444444444444443,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-even-affine,linear,79.0,least-squares,356,43.0,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-multiply,encoded,79.0,least-squares,196,18.875,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-multiply,linear,79.0,least-squares,308,18.5,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-screen,encoded,79.0,least-squares,212,42.0,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,coverage-screen,linear,79.0,least-squares,324,40.55555555555556,0.0,1,3448,384,0,not closed,circular only
1x/light/inactive,arc,even,encoded,97.0,least-squares,20,30.666666666666668,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,gradient,encoded,97.0,least-squares,148,32.666666666666664,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,isotropic-even,encoded,97.0,least-squares,36,35.666666666666664,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,isotropic-two-axis,encoded,97.0,least-squares,132,25.55,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,one-sided-diagonal,encoded,97.0,least-squares,52,50.666666666666664,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,rotated-axis,encoded,97.0,least-squares,116,35.666666666666664,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,shipped-diagonal,encoded,97.0,least-squares,68,34.26315789473684,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,signed-normal,encoded,97.0,least-squares,84,28.666666666666668,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,arc,two-term-even,encoded,97.0,least-squares,100,29.36842105263158,0.0,1,10744,672,0,not closed,all shapes
1x/light/inactive,straight,body-forward-affine,encoded,10.0,least-squares,260,10.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,body-forward-affine,linear,21.0,least-squares,372,21.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,body-forward-even-affine,encoded,9.0,minimax,277,9.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,body-forward-even-affine,linear,21.0,least-squares,388,21.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,colour-gradient,encoded,97.0,least-squares,164,21.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,constant,encoded,97.0,least-squares,4,21.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,coverage-add,encoded,81.0,least-squares,180,15.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-add,linear,82.0,least-squares,292,69.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-affine,encoded,80.0,least-squares,228,20.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-affine,linear,80.0,least-squares,340,33.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-even-affine,encoded,80.0,least-squares,244,15.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-even-affine,linear,80.0,least-squares,356,32.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-multiply,encoded,80.0,least-squares,196,7.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-multiply,linear,80.0,least-squares,308,6.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-screen,encoded,79.0,minimax,213,36.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,coverage-screen,linear,79.0,minimax,325,36.0,0.0,1,3648,48,0,not closed,circular only
1x/light/inactive,straight,even,encoded,97.0,least-squares,20,43.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,gradient,encoded,97.0,least-squares,148,19.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,isotropic-even,encoded,97.0,least-squares,36,19.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,isotropic-two-axis,encoded,97.0,least-squares,132,20.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,one-sided-diagonal,encoded,97.0,least-squares,52,43.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,rotated-axis,encoded,97.0,least-squares,116,19.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,shipped-diagonal,encoded,97.0,least-squares,68,21.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,signed-normal,encoded,97.0,least-squares,84,21.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/inactive,straight,two-term-even,encoded,97.0,least-squares,100,19.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,arc,body-forward-affine,encoded,30.88888888888889,least-squares,262,30.88888888888889,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,body-forward-affine,linear,32.77777777777778,least-squares,374,32.77777777777778,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,body-forward-even-affine,encoded,22.25,least-squares,278,10.75,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,body-forward-even-affine,linear,32.888888888888886,least-squares,390,32.888888888888886,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,colour-gradient,encoded,106.86111111111111,least-squares,166,36.78947368421053,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,constant,encoded,106.86111111111111,least-squares,6,39.666666666666664,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,coverage-add,encoded,89.0,minimax,183,54.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-add,linear,89.0,minimax,295,54.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-affine,encoded,89.0,least-squares,230,37.77777777777778,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-affine,linear,89.0,least-squares,342,38.333333333333336,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-even-affine,encoded,89.0,least-squares,246,22.22222222222222,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-even-affine,linear,89.0,least-squares,358,36.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-multiply,encoded,89.0,minimax,199,54.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-multiply,linear,89.0,minimax,311,54.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-screen,encoded,89.0,least-squares,214,53.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,coverage-screen,linear,89.0,minimax,327,54.666666666666664,0.0,1,3448,384,0,not closed,circular only
1x/light/active,arc,even,encoded,106.86111111111111,least-squares,22,30.095238095238095,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,gradient,encoded,106.86111111111111,least-squares,150,32.666666666666664,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,isotropic-even,encoded,106.86111111111111,least-squares,38,28.75,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,isotropic-two-axis,encoded,106.86111111111111,least-squares,134,27.857142857142858,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,one-sided-diagonal,encoded,106.86111111111111,least-squares,54,54.666666666666664,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,rotated-axis,encoded,106.86111111111111,least-squares,118,30.25,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,shipped-diagonal,encoded,106.86111111111111,least-squares,70,40.888888888888886,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,signed-normal,encoded,106.86111111111111,least-squares,86,40.666666666666664,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,arc,two-term-even,encoded,106.86111111111111,least-squares,102,28.857142857142858,0.0,1,10738,672,0,not closed,all shapes
1x/light/active,straight,body-forward-affine,encoded,31.0,least-squares,262,5.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,body-forward-affine,linear,29.0,least-squares,374,25.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,body-forward-even-affine,encoded,31.0,least-squares,278,8.0,0.0,1,3648,48,0,not closed,circular only
