| stratum | part | native notch | web notch | max native–web | pixels | bar / tolerance |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| 1x/dark/inactive | arc | -16.492 | 1.997 | 151.250 | 42228 | 0 / 1 |
| 1x/dark/inactive | straight | -25.042 | 2.388 | 144.000 | 37800 | 0 / 1 |
| 1x/dark/active | arc | -10.993 | 3.236 | 136.714 | 42258 | 0 / 1 |
| 1x/dark/active | straight | 0.000 | 0.000 | 144.000 | 37800 | 0 / 1 |
| 1x/light/inactive | arc | -14.205 | 7.174 | 165.333 | 42228 | 0 / 1 |
| 1x/light/inactive | straight | -29.582 | 0.000 | 117.481 | 37800 | 0 / 1 |
| 1x/light/active | arc | -11.233 | 8.755 | 94.143 | 42228 | 0.5 / 1 |
| 1x/light/active | straight | -19.572 | 0.000 | 99.000 | 37800 | 0 / 1 |
| 2x/dark/inactive | arc | -16.835 | 1.944 | 144.000 | 83226 | 0 / 1 |
| 2x/dark/inactive | straight | -25.042 | 2.395 | 144.000 | 75528 | 0 / 1 |
| 2x/dark/active | arc | -10.994 | 3.762 | 138.438 | 83028 | 0.0625 / 1 |
| 2x/dark/active | straight | 0.000 | 0.000 | 148.000 | 75528 | 0 / 1 |
| 2x/light/inactive | arc | -13.452 | 9.169 | 98.333 | 82932 | 0 / 1 |
| 2x/light/inactive | straight | -30.198 | 0.000 | 91.000 | 75528 | 0 / 1 |
| 2x/light/active | arc | -10.458 | 8.858 | 97.625 | 82974 | 0 / 1 |
| 2x/light/active | straight | -19.500 | 0.000 | 102.000 | 75528 | 0 / 1 |
