cell,role,deep_R,deep_G,deep_B,web_minus_native_R,web_minus_native_G,web_minus_native_B,width_device_px,line_excess_G,last_ramp_excess_G
apple-macos-27.0-1x-dark-standard-glass0.5/blue__circular-120__inactive,calibration,49.0,48.0,246.0,0.0,1.0,-144.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/blue__circular-120__rest,calibration,58.0,58.0,255.0,12.0,12.0,-90.0,1,[34.0],7.0
apple-macos-27.0-1x-dark-standard-glass0.5/cyan__circular-120__inactive,validation,12.0,180.0,180.0,110.0,-34.0,-34.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/cyan__circular-120__rest,validation,18.0,186.0,186.0,100.0,-28.0,-28.0,1,[36.0],8.0
apple-macos-27.0-1x-dark-standard-glass0.5/green__circular-120__inactive,calibration,16.0,187.0,16.0,101.0,-45.0,101.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/green__circular-120__rest,calibration,22.0,193.0,22.0,94.0,-36.0,94.0,1,[39.0],8.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-0__circular-120__inactive,calibration,20.0,20.0,20.0,40.0,40.0,40.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-0__circular-120__rest,calibration,32.0,32.0,32.0,28.0,28.0,28.0,1,[41.0],9.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__circular-120__inactive,calibration,127.0,127.0,127.0,-1.0,-1.0,-1.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__circular-120__rest,calibration,134.0,134.0,134.0,-7.0,-7.0,-7.0,1,[30.0],7.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-160__circular-120__inactive,calibration,146.0,146.0,146.0,-4.0,-4.0,-4.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-160__circular-120__rest,calibration,151.0,151.0,151.0,-7.0,-7.0,-7.0,1,[29.0],6.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__circular-120__inactive,calibration,180.0,180.0,180.0,-3.0,-3.0,-3.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__circular-120__rest,calibration,184.0,184.0,184.0,-4.0,-4.0,-4.0,1,[25.0],6.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-32__circular-120__inactive,calibration,52.0,52.0,52.0,-10.0,-10.0,-10.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-32__circular-120__rest,calibration,62.0,62.0,62.0,-3.0,-3.0,-3.0,1,[38.0],8.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-64__circular-120__inactive,calibration,81.0,80.0,81.0,-4.0,-3.0,-4.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-64__circular-120__rest,calibration,89.0,89.0,89.0,-7.0,-7.0,-7.0,1,[35.0],8.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-96__circular-120__inactive,validation,106.0,106.0,106.0,-1.0,-1.0,-1.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/grey-96__circular-120__rest,validation,113.0,113.0,113.0,-5.0,-5.0,-5.0,1,[32.0],7.0
apple-macos-27.0-1x-dark-standard-glass0.5/magenta__circular-120__inactive,calibration,227.0,38.0,227.0,-113.0,39.0,-113.0,1,[0.0],0.0
apple-macos-27.0-1x-dark-standard-glass0.5/magenta__circular-120__rest,calibration,235.0,46.0,235.0,-76.0,50.0,-76.0,1,[23.0],5.0
